Iteration,SMOTE,Model,Metric,Score,Rank
2,False,Gradient Boosting,recall_macro,0.6424856349680237,8.0
3,False,XGBoost,recall_macro,0.6419486700916863,9.0
2,True,XGBoost,recall_macro,0.6419361268893091,10.0
3,True,AdaBoost,recall_macro,0.6418388808370485,11.0
2,False,Gaussian Naive Bayes,recall_macro,0.6418385409463764,12.0
2,False,MLP Classifier,recall_macro,0.6418335264727821,13.0
2,False,K-Nearest Neighbors,recall_macro,0.6418143019845404,14.0
2,True,Stochastic Gradient Descent,recall_macro,0.6415817364431804,15.0
3,False,K-Nearest Neighbors,recall_macro,0.6415741037753622,16.0
4,True,Random Forest,recall_macro,0.6415557126932556,17.0
1,True,Logistic Regression,recall_macro,0.6415119590382612,18.0
3,False,Stochastic Gradient Descent,recall_macro,0.6414735100617777,19.0
1,False,Decision Tree,recall_macro,0.6414045660629937,20.0
1,False,Logistic Regression,recall_macro,0.6413463307927425,21.0
3,False,Decision Tree,recall_macro,0.6412605088993315,22.0
3,True,Gradient Boosting,recall_macro,0.6412285192938589,23.0
3,True,Stochastic Gradient Descent,recall_macro,0.6412252896083535,24.0
3,True,Decision Tree,recall_macro,0.6411953563915789,25.0
1,True,Stochastic Gradient Descent,recall_macro,0.6410942008724685,26.0
3,True,K-Nearest Neighbors,recall_macro,0.6409459626413474,27.0
1,True,Decision Tree,recall_macro,0.6409344205066794,28.0
2,True,Gaussian Naive Bayes,recall_macro,0.6408935752508256,29.0
3,True,Logistic Regression,recall_macro,0.6408767470419541,30.0
1,False,Stochastic Gradient Descent,recall_macro,0.640862586713062,31.0
3,False,Gradient Boosting,recall_macro,0.6408569607481864,32.0
1,False,Gradient Boosting,recall_macro,0.640805184848946,33.0
4,True,Stochastic Gradient Descent,recall_macro,0.6407269956233534,34.0
2,True,Decision Tree,recall_macro,0.6407234260471757,35.0
1,False,Support Vector Machine,recall_macro,0.6407188011500091,36.0
3,False,Support Vector Machine,recall_macro,0.6407063759234504,37.0
1,False,K-Nearest Neighbors,recall_macro,0.6405782452724617,38.0
2,False,Stochastic Gradient Descent,recall_macro,0.6405474289637965,39.0
4,False,Random Forest,recall_macro,0.6405338304404304,40.0
3,False,MLP Classifier,recall_macro,0.6404741502727626,41.0
3,True,MLP Classifier,recall_macro,0.6404072129769212,42.0
3,False,AdaBoost,recall_macro,0.6403953992416438,43.0
4,True,Decision Tree,recall_macro,0.640371653795271,44.0
1,True,XGBoost,recall_macro,0.6403536522895921,45.0
